Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
204;Памяти Герцена;Ленин Владимир Ильич;1977;Книга;История;Детский;-
205;Письмо к американским рабочим;Ленин Владимир Ильич;1970;Книга;История;Детский;-
206;Последние письма и статьи;Ленин Владимир Ильич;1970;Книга;История;Детский;-
207;С чего начать?;Ленин Владимир Ильич;1971;Книга;История;Детский;-
208;Что делать?;Ленин Владимир Ильич;1970;Книга;История;Детский;-
209;Малая Советская энциклопедия Т.8;;1960;Книга;Справочная литература;Детский;-
210;Малая Советская энциклопедия Т.9;;1960;Книга;Справочная литература;Детский;-
211;Малая Советская энциклопедия Т.10;;1960;Книга;Справочная литература;Детский;-
212;Малая Советская энциклопедия. Алфавитный предметно-именной указатель;;1961;Книга;Справочная литература;Детский;-
213;Профессиональный антикоммунизм;Генри Э. ;1981;Книга;Общественные и гуманитарные науки;Взрослый;-
214;Высшие учебные заведения Москвы и Московской области;;2003;Книга;Образование;Универсальный;5-98032-138-1
215;Гигиена и реставрация библиотечных фондов;;1979;Книга;Библиотечное дело;Универсальный;-
216;Справочник по бытовой приёмно-усилительной аппаратуре;Белов Владимир;1984;Книга;Наука.Техника;Универсальный;-
217;Электрические приборы для автомобилей;Синельнитков Александр;1981;Книга;Наука.Техника;Универсальный;-
218;Печаль в раю;Гойтисоло Х.;1989;Книга;Зарубежная литература;Взрослый;-
219;Избранное. Том 1;Друцэ И.П.;1984;Книга;Зарубежная литература;Взрослый;-
220;Избранное.Том 2;Друцэ И.П.;1984;Книга;Зарубежная литература;Взрослый;-
221;Избранное. Том 1;Думбадзе Н.В.;1981;Книга;Зарубежная литература;Взрослый;-
222;Какая ты, Армения?;;1989;Книга;Зарубежная литература;Взрослый;-
223;Реквием по Марии;Малева В.Л.;1988;Книга;Зарубежная литература;Взрослый;-
224;Крылатые семена;Причард К.;1987;Книга;Зарубежная литература;Взрослый;-
225;Мужики. Том 1;Реймонт В.;1981;Книга;Зарубежная литература;Взрослый;-
227;Мужики. Том 2;Реймонт В.;1981;Книга;Зарубежная литература;Взрослый;-
229;Избранное;Станку З.;1985;Книга;Зарубежная литература;Взрослый;-
230;Боспор Киммерийский;Воронов А.А.;1983;Книга;Искусство;Взрослый;-
231;Кибернетика. Становление информатики;;1986;Книга;Техника;Взрослый;-
232;Теоретические основы товароведения непродовольственных товаров;Алексеев Н.И.;1988;Книга;экономика;Взрослый;-
233;Справочник товароведа;;1988;Книга;экономика;Взрослый;-
234;Береги здоровье смолоду;Лаптев А.П.;1988;Книга;медицина;Взрослый;-
235;Подоходный налог с физических лиц;;1999;Книга;экономика;Взрослый;-
236;Как выжить и сохранить свои сбережения во время кризиса;Смирнова Н.;2009;Книга;экономика;Взрослый;-
237;Организация торговли непродовольствованными товарами;Бурмистров В.Г.;1988;Книга;экономика;Взрослый;-
238;Самоуправление школьников;Корошов В.;1981;Книга;педагогика;Взрослый;-
239;Преступный выстрел;Скорин И.Д.;1988;Книга;право;Взрослый;-
240;Женская магия;;1990;Книга;психология;Взрослый;-
241;Товароведение;;1988;Книга;экономика;Взрослый;-
242;Пособия и льготы гражданам с детьми;Азарова Е.Г.;1999;Книга;право;Взрослый;-
243;Олимпийский глобус;;1987;Книга;спорт;Взрослый;-
244;Олимпийский глобус;;1988;Книга;спорт;Взрослый;-
245;Спорт в ПНР;Сенярский С.;1979;Книга;спорт;Взрослый;-
246;Человек и его судьба;Коган Л.Н.;1988;Книга;философия;Взрослый;-
247;Строчные трансформаторы для зарубежных телевизоров и мониторов;Колесниченко О.;1996;Книга;Техника;Взрослый;-
248;Лес и человек;;1988;Книга;сельское хоз-во;Взрослый;-
249;Библиотеки России на пороге XXI века: цифры и факты;;2002;Книга;Справочники;Универсальный;5-85129-145-1
