Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
1735;Жизнь советской ;Пукинский Ю.Б.;1977;Книга;Естественные науки;Взрослый;-
1736;Происшествие в окрестностях Голгофы;Пумпанский А. ;1984;Книга;Общественные и гуманитарные науки;Взрослый;-
1737;Л.Пантелеев. Очерк жизни и творчества;Путилова Е.О.;1969;Книга;Литературоведение;Взрослый;-
1738;Материалы в приборостроении и автоматике;Пятин Ю.Н.;1982;Книга;Техника;Взрослый;-
1739;Наш дом- Земля;Радкевич Е.;1984;Книга;Естественные науки;Взрослый;-
1740;Аксель Берг;Радунская И.;1971;Книга;Техника;Взрослый;-
1741;Кванты и Музы;Радунская И.;1980;Книга;Естественные науки;Взрослый;-
1742;Курс черчения;Разов С.В.;1974;Книга;Техника;Взрослый;-
1743;Открытия, которых не было;Рамсей Р.;1977;Книга;Естественные науки;Взрослый;-
1744;Тень быстротечной жизни;Раскольникова М.;1991;Книга;История;Взрослый;-
1745;Небываемое бывает;Раш К.;1990;Книга;Общественные и гуманитарные науки;Взрослый;-
1746;Байконур на проспекте Мира;Ребров М.;1976;Книга;Техника;Взрослый;-
1747;Малый практикум по органической химии;Рево А.Я.;1980;Книга;Естественные науки;Взрослый;-
1748;Острый тромбофлебит нижних конечностей;Ревский А.К.;1976;Книга;Медицина;Взрослый;-
1749;Жизнь в поэзии;Резник О.С.;1981;Книга;Литературоведение;Взрослый;-
1750;Полчаса , побеждающие усталость;Рейф И.;1994;Книга; Спорт;Взрослый;-
1751;Э.Х. Ленц;Ржонсницкий Б.Н.;1987;Книга;Естественные науки;Взрослый;-
1752;Картинг;Рихтер Т.;1988;Книга; Спорт;Взрослый;-
1753;Черная роза;Рогов А.;1986;Книга;Искусство;Взрослый;-
1754;В глубинах пяти морей;Рогов А.;1985;Книга;Естественные науки;Взрослый;-
1755;Основы химии и технологии химических волокон ч.2;Роговин З.А.;1974;Книга;Техника;Взрослый;-
1756;Основы химии и технологии химических волокон ч.1;Роговин З.А.;1974;Книга;Техника;Взрослый;-
1757;Павлов ;Розенталь И.С.;1963;Книга;Медицина;Взрослый;-
1758;Курс черчения;Розов С.В.;1980;Книга;Техника;Взрослый;-
